species,location,season,temperature_c,humidity_pct,soil_moisture_pct,days_since_watered,missed_waterings,light_hours_daily,pot_has_drainage,health_score,health_label,recommended_water_days
Pothos,Outdoor - Full Sun,Rainy Season,19.7,70.6,7.3,24.7,1,3.5,1,77.6,Healthy,9
Bamboo Palm,Outdoor - Shade,Rainy Season,25.5,30.4,77.7,16.8,2,4.5,1,63.1,Needs Attention,7
Snake Plant,Outdoor - Shade,Rainy Season,19.1,32.7,11.8,19.5,0,8.8,1,78.3,Healthy,16
Monstera,Indoor - Medium Light,Rainy Season,37.6,61.1,32.3,1.3,4,11.9,0,59.0,Needs Attention,9
Snake Plant,Indoor - Low Light,Dry Season,31.9,54.5,62.8,17.5,7,9.4,1,49.2,At Risk,12
Monstera,Indoor - Medium Light,Rainy Season,30.9,50.2,22.9,8.0,4,11.7,1,79.7,Healthy,9
Pothos,Indoor - Low Light,Dry Season,26.2,64.2,27.1,4.0,2,10.2,1,83.6,Healthy,5
Aloe Vera,Indoor - Medium Light,Dry Season,18.9,26.7,37.6,24.3,7,11.9,1,4.3,At Risk,12
Pothos,Outdoor - Full Sun,Dry Season,27.4,52.0,27.3,1.7,5,8.9,1,75.8,Healthy,5
Monstera,Outdoor - Full Sun,Rainy Season,35.0,41.1,45.1,3.9,2,4.7,1,93.0,Healthy,9
Aloe Vera,Indoor - Medium Light,Rainy Season,23.4,26.4,49.8,14.3,2,7.2,1,96.7,Healthy,16
Rubber Plant,Indoor - Low Light,Rainy Season,27.6,52.3,78.5,19.2,2,4.1,0,65.0,Needs Attention,9
Dracaena,Indoor - Bright Light,Dry Season,36.1,47.6,51.4,23.5,3,5.0,1,13.9,At Risk,8
Snake Plant,Outdoor - Full Sun,Rainy Season,30.7,40.6,7.6,3.9,6,7.8,1,22.5,At Risk,16
Spider Plant,Indoor - Low Light,Dry Season,35.5,58.5,97.3,18.1,2,2.4,0,40.3,At Risk,5
Dracaena,Indoor - Medium Light,Dry Season,24.4,31.0,48.1,20.6,7,10.7,1,34.9,At Risk,8
Pothos,Indoor - Bright Light,Dry Season,37.7,59.9,92.4,7.1,3,5.7,1,72.7,Needs Attention,5
Dracaena,Indoor - Bright Light,Dry Season,18.6,81.4,35.4,11.9,7,4.7,1,78.8,Healthy,12
ZZ Plant,Indoor - Medium Light,Rainy Season,20.4,82.9,59.4,20.4,2,8.5,1,93.3,Healthy,16
Aloe Vera,Indoor - Low Light,Rainy Season,20.6,43.4,36.3,19.4,1,4.4,1,100.0,Healthy,16
Rubber Plant,Indoor - Low Light,Dry Season,20.0,34.9,24.6,4.8,2,2.9,1,99.5,Healthy,5
Philodendron,Indoor - Low Light,Rainy Season,21.4,68.5,92.9,16.7,7,6.8,1,26.5,At Risk,9
Spider Plant,Indoor - Bright Light,Rainy Season,28.2,40.8,11.5,18.3,7,2.9,1,0.0,At Risk,9
Aloe Vera,Indoor - Medium Light,Dry Season,19.3,89.3,32.2,24.3,0,3.4,0,81.6,Healthy,16
Peace Lily,Indoor - Low Light,Dry Season,34.6,87.7,12.4,21.9,0,4.1,1,59.6,Needs Attention,7
Monstera,Outdoor - Shade,Rainy Season,34.5,37.1,23.6,19.0,5,5.6,1,38.1,At Risk,9
ZZ Plant,Indoor - Bright Light,Dry Season,24.0,73.6,50.3,7.0,0,5.9,1,100.0,Healthy,12
Fiddle Leaf Fig,Indoor - Bright Light,Dry Season,32.6,70.1,16.7,26.4,0,7.3,1,50.6,Needs Attention,5
Monstera,Indoor - Bright Light,Dry Season,20.9,38.3,71.4,14.8,1,5.4,1,79.5,Healthy,5
Monstera,Outdoor - Full Sun,Dry Season,26.2,75.2,1.2,18.0,3,7.4,1,46.0,At Risk,9
Fiddle Leaf Fig,Indoor - Medium Light,Rainy Season,30.3,84.3,13.9,3.0,0,2.2,1,64.4,Needs Attention,9
Aloe Vera,Indoor - Medium Light,Dry Season,29.5,64.4,42.4,22.1,7,10.4,1,45.8,At Risk,12
Spider Plant,Indoor - Low Light,Dry Season,35.4,58.7,59.1,12.0,0,9.4,1,35.4,At Risk,5
Boston Fern,Indoor - Low Light,Rainy Season,22.5,54.4,14.1,5.3,6,3.7,0,18.6,At Risk,5
Boston Fern,Indoor - Medium Light,Rainy Season,22.3,58.5,97.6,13.8,3,6.1,0,14.0,At Risk,5
Boston Fern,Indoor - Bright Light,Rainy Season,22.1,37.4,3.7,14.2,7,7.9,1,0.0,At Risk,5
Pothos,Indoor - Medium Light,Rainy Season,29.2,35.1,18.2,25.9,6,9.5,1,11.3,At Risk,9
Peace Lily,Indoor - Bright Light,Dry Season,18.4,31.8,80.0,5.4,0,7.6,1,74.2,Needs Attention,3
Aloe Vera,Indoor - Bright Light,Rainy Season,25.9,68.4,20.5,8.8,7,2.9,1,67.0,Needs Attention,16
Snake Plant,Indoor - Medium Light,Dry Season,34.3,47.2,25.9,11.4,6,2.3,1,84.1,Healthy,12
Dracaena,Indoor - Low Light,Rainy Season,35.2,39.3,97.5,23.4,0,10.7,1,56.9,Needs Attention,12
ZZ Plant,Indoor - Low Light,Rainy Season,30.9,52.4,13.2,27.0,1,4.7,0,57.8,Needs Attention,16
Spider Plant,Indoor - Low Light,Rainy Season,19.3,51.3,49.7,21.6,4,2.1,0,26.9,At Risk,9
Rubber Plant,Outdoor - Full Sun,Dry Season,29.5,79.5,40.4,23.1,5,2.5,0,28.9,At Risk,9
Cactus,Outdoor - Full Sun,Dry Season,34.7,53.4,91.6,21.6,7,7.7,1,48.8,At Risk,19
Spider Plant,Outdoor - Shade,Dry Season,29.9,28.3,49.6,17.9,1,8.2,1,67.6,Needs Attention,5
Bamboo Palm,Indoor - Bright Light,Rainy Season,26.7,41.0,81.9,24.0,3,11.7,0,53.3,Needs Attention,7
Orchid,Indoor - Bright Light,Rainy Season,30.8,74.3,72.4,19.1,7,4.5,1,34.0,At Risk,9
Bamboo Palm,Indoor - Medium Light,Dry Season,18.9,63.2,99.9,16.7,5,11.2,0,0.0,At Risk,3
Dracaena,Outdoor - Shade,Dry Season,27.1,59.0,64.5,19.5,7,4.3,0,25.4,At Risk,8
Orchid,Indoor - Low Light,Rainy Season,33.8,45.7,62.6,26.6,1,10.8,1,69.8,Needs Attention,9
Boston Fern,Outdoor - Shade,Dry Season,33.3,51.1,48.0,18.8,7,4.7,1,39.4,At Risk,1
Pothos,Indoor - Low Light,Dry Season,27.3,44.3,85.3,21.5,4,2.4,0,1.3,At Risk,5
Dracaena,Indoor - Bright Light,Rainy Season,30.3,35.9,99.1,7.0,3,10.4,1,83.0,Healthy,12
Dracaena,Indoor - Medium Light,Dry Season,21.5,39.3,18.6,23.4,5,10.0,1,31.3,At Risk,8
Peace Lily,Indoor - Medium Light,Rainy Season,31.9,35.0,81.6,6.7,7,9.5,0,43.9,At Risk,7
Boston Fern,Indoor - Low Light,Rainy Season,23.3,33.4,88.9,28.7,3,2.4,1,13.4,At Risk,5
Snake Plant,Outdoor - Full Sun,Rainy Season,20.2,83.1,99.1,1.8,4,6.8,1,55.5,Needs Attention,16
Snake Plant,Indoor - Bright Light,Dry Season,23.3,82.1,79.7,19.8,0,3.6,0,73.9,Needs Attention,16
Orchid,Outdoor - Full Sun,Dry Season,37.2,55.3,87.9,0.2,7,5.4,1,24.1,At Risk,5
Bamboo Palm,Outdoor - Shade,Dry Season,21.9,30.5,32.6,16.8,7,4.6,1,5.6,At Risk,3
Snake Plant,Outdoor - Shade,Rainy Season,21.6,74.0,78.9,5.2,3,2.7,1,71.9,Needs Attention,16
Cactus,Indoor - Low Light,Rainy Season,30.4,28.0,87.2,29.2,4,6.5,1,79.3,Healthy,23
Pothos,Indoor - Bright Light,Dry Season,31.7,54.0,27.4,29.9,0,3.0,1,65.4,Needs Attention,5
Snake Plant,Outdoor - Shade,Rainy Season,20.6,81.4,96.3,0.9,4,11.4,1,62.4,Needs Attention,16
Philodendron,Indoor - Medium Light,Dry Season,22.0,81.4,71.5,16.9,3,6.7,1,47.2,At Risk,9
Philodendron,Indoor - Bright Light,Rainy Season,28.6,26.2,79.7,8.8,7,11.2,1,58.5,Needs Attention,9
Pothos,Outdoor - Shade,Rainy Season,26.6,38.0,49.2,1.9,5,5.3,1,81.1,Healthy,9
Bamboo Palm,Indoor - Low Light,Rainy Season,27.3,69.2,39.6,29.2,5,4.9,1,11.6,At Risk,7
Aloe Vera,Indoor - Low Light,Dry Season,20.1,62.1,1.8,14.5,3,9.0,1,62.1,Needs Attention,12
Pothos,Indoor - Low Light,Dry Season,19.7,78.6,35.8,9.7,5,7.7,1,74.0,Needs Attention,9
Fiddle Leaf Fig,Indoor - Low Light,Rainy Season,30.3,64.8,29.9,28.1,7,9.1,1,26.4,At Risk,9
ZZ Plant,Indoor - Bright Light,Rainy Season,29.1,63.8,78.4,14.4,6,7.3,1,80.9,Healthy,16
ZZ Plant,Outdoor - Full Sun,Dry Season,18.9,35.5,2.1,19.6,4,12.0,1,27.1,At Risk,12
Bamboo Palm,Indoor - Low Light,Dry Season,27.3,81.4,72.7,22.3,3,8.3,1,42.6,At Risk,7
Cactus,Outdoor - Full Sun,Rainy Season,27.7,81.8,90.1,12.7,1,11.9,1,98.6,Healthy,23
Peace Lily,Outdoor - Full Sun,Rainy Season,30.6,72.7,13.2,21.5,7,8.0,1,24.7,At Risk,7
Rubber Plant,Outdoor - Shade,Dry Season,26.9,58.5,35.9,17.8,5,8.5,1,28.6,At Risk,5
Pothos,Outdoor - Shade,Rainy Season,25.9,40.4,23.5,26.5,5,3.7,1,30.4,At Risk,9
Boston Fern,Outdoor - Shade,Dry Season,23.1,48.4,37.9,18.2,6,8.6,1,0.0,At Risk,1
Philodendron,Outdoor - Shade,Dry Season,20.2,42.5,5.7,15.9,3,2.5,1,62.6,Needs Attention,5
Orchid,Indoor - Medium Light,Rainy Season,37.7,87.7,0.5,28.6,1,11.7,1,59.1,Needs Attention,9
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,18.6,45.0,70.5,6.1,6,3.6,0,71.0,Needs Attention,5
ZZ Plant,Indoor - Medium Light,Dry Season,31.7,57.3,61.8,26.1,7,9.7,0,0.0,At Risk,12
Dracaena,Outdoor - Full Sun,Rainy Season,31.0,31.9,65.8,30.0,5,5.2,1,4.0,At Risk,12
Boston Fern,Outdoor - Shade,Rainy Season,26.1,46.3,66.8,24.2,1,10.8,1,52.5,Needs Attention,5
Dracaena,Indoor - Low Light,Dry Season,24.5,48.8,39.6,20.9,3,7.5,1,39.3,At Risk,8
Dracaena,Indoor - Medium Light,Rainy Season,27.3,49.7,86.3,15.6,5,11.1,1,65.4,Needs Attention,12
Monstera,Outdoor - Shade,Rainy Season,30.2,74.7,81.3,21.5,2,7.2,1,53.1,Needs Attention,9
Spider Plant,Outdoor - Full Sun,Dry Season,25.0,31.6,48.6,7.7,3,8.7,1,84.5,Healthy,5
Cactus,Outdoor - Shade,Rainy Season,32.3,42.7,41.4,3.7,2,3.2,1,86.7,Healthy,23
Pothos,Indoor - Medium Light,Dry Season,23.1,87.6,48.4,24.2,0,5.7,1,70.8,Needs Attention,9
Monstera,Outdoor - Shade,Dry Season,33.9,67.0,17.5,10.8,1,11.0,1,66.0,Needs Attention,5
Cactus,Indoor - Low Light,Rainy Season,33.3,34.7,42.4,4.6,0,9.4,1,100.0,Healthy,23
Pothos,Outdoor - Full Sun,Dry Season,22.6,38.4,63.8,7.7,4,7.9,1,65.8,Needs Attention,5
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,32.5,26.0,34.1,24.6,3,9.2,1,69.0,Needs Attention,5
Pothos,Outdoor - Shade,Dry Season,26.0,48.9,34.4,18.5,4,7.2,0,25.1,At Risk,5
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,27.1,37.4,5.2,11.4,5,7.6,1,40.4,At Risk,5
Spider Plant,Outdoor - Full Sun,Dry Season,30.7,74.1,17.0,12.3,5,6.5,1,22.5,At Risk,5
Monstera,Outdoor - Shade,Rainy Season,33.4,40.8,67.2,2.8,5,2.9,1,85.9,Healthy,9
Orchid,Outdoor - Shade,Rainy Season,19.3,32.6,22.7,10.3,0,2.9,1,76.2,Healthy,9
Spider Plant,Indoor - Medium Light,Dry Season,21.2,76.1,57.5,17.0,3,4.1,1,45.1,At Risk,9
Aloe Vera,Indoor - Medium Light,Rainy Season,32.4,34.2,21.2,24.6,6,6.0,0,21.3,At Risk,16
Rubber Plant,Indoor - Medium Light,Dry Season,27.6,45.4,60.6,4.2,7,9.6,0,60.7,Needs Attention,5
Rubber Plant,Outdoor - Full Sun,Dry Season,20.4,56.1,50.6,7.0,4,7.5,1,85.4,Healthy,5
Snake Plant,Outdoor - Full Sun,Rainy Season,35.0,25.0,1.8,18.1,6,3.5,0,1.3,At Risk,16
Boston Fern,Indoor - Medium Light,Dry Season,30.4,44.3,43.0,5.1,4,3.2,1,55.3,Needs Attention,1
Pothos,Outdoor - Full Sun,Dry Season,22.4,36.3,65.6,25.4,1,3.3,1,61.5,Needs Attention,5
Orchid,Outdoor - Full Sun,Dry Season,33.4,25.7,41.6,14.4,5,9.9,1,5.4,At Risk,5
Monstera,Indoor - Medium Light,Dry Season,37.2,56.7,11.0,16.4,6,7.0,1,30.8,At Risk,5
Snake Plant,Indoor - Bright Light,Dry Season,30.3,80.9,39.2,28.7,0,11.6,1,74.6,Needs Attention,16
Cactus,Outdoor - Shade,Rainy Season,27.2,66.4,65.9,26.9,7,4.3,1,70.9,Needs Attention,23
Bamboo Palm,Indoor - Bright Light,Dry Season,32.7,58.3,68.0,1.3,0,9.5,1,87.8,Healthy,3
Philodendron,Outdoor - Shade,Dry Season,37.4,86.3,78.4,10.6,1,3.0,1,46.2,At Risk,9
Orchid,Indoor - Low Light,Dry Season,33.6,39.8,97.6,20.0,2,3.2,1,30.7,At Risk,5
Philodendron,Outdoor - Shade,Rainy Season,20.6,47.0,92.8,6.7,0,5.8,1,100.0,Healthy,9
Snake Plant,Outdoor - Shade,Rainy Season,36.6,68.9,49.6,0.4,4,4.9,1,59.7,Needs Attention,16
Bamboo Palm,Outdoor - Full Sun,Rainy Season,34.8,72.4,77.6,19.7,2,5.2,1,69.6,Needs Attention,7
Bamboo Palm,Indoor - Medium Light,Rainy Season,20.6,72.2,81.8,6.4,2,3.5,1,96.7,Healthy,7
Peace Lily,Indoor - Bright Light,Dry Season,31.8,81.8,63.6,22.8,6,3.6,1,0.0,At Risk,7
Spider Plant,Indoor - Bright Light,Rainy Season,35.6,67.7,31.1,22.3,5,8.2,0,18.8,At Risk,9
Peace Lily,Indoor - Bright Light,Dry Season,20.5,50.0,64.3,23.4,5,7.9,1,26.4,At Risk,3
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,33.9,31.0,58.8,14.4,5,9.2,0,46.5,At Risk,9
Dracaena,Indoor - Medium Light,Dry Season,23.4,78.6,49.8,2.3,5,9.0,1,67.0,Needs Attention,12
Monstera,Outdoor - Shade,Rainy Season,28.4,49.3,12.2,22.1,0,2.9,1,66.9,Needs Attention,9
Spider Plant,Outdoor - Shade,Rainy Season,21.6,69.6,99.1,22.4,6,7.7,1,59.1,Needs Attention,9
Snake Plant,Indoor - Bright Light,Dry Season,32.0,63.1,58.6,20.9,2,5.0,1,87.2,Healthy,12
Cactus,Outdoor - Full Sun,Rainy Season,20.7,30.2,72.8,14.9,0,9.8,0,86.8,Healthy,23
Orchid,Outdoor - Shade,Dry Season,33.0,67.7,95.7,2.1,3,2.4,0,51.0,Needs Attention,5
Philodendron,Indoor - Medium Light,Dry Season,33.5,29.2,48.8,1.0,3,8.2,1,91.1,Healthy,5
Snake Plant,Indoor - Low Light,Dry Season,24.9,83.5,2.2,19.9,3,3.3,1,39.1,At Risk,16
Monstera,Indoor - Medium Light,Dry Season,31.1,37.9,56.5,13.9,0,11.5,1,84.1,Healthy,5
Philodendron,Indoor - Medium Light,Dry Season,35.0,61.5,52.3,3.4,1,6.0,1,72.2,Needs Attention,5
Snake Plant,Indoor - Low Light,Rainy Season,21.3,86.5,85.0,20.1,1,10.6,1,97.8,Healthy,16
Orchid,Outdoor - Shade,Dry Season,27.2,28.4,78.6,6.0,6,10.7,1,43.7,At Risk,5
Dracaena,Indoor - Bright Light,Dry Season,27.0,89.0,77.2,0.8,0,2.9,1,81.6,Healthy,12
Peace Lily,Outdoor - Shade,Dry Season,34.4,49.7,77.6,28.9,7,3.9,0,4.4,At Risk,3
Dracaena,Indoor - Medium Light,Rainy Season,27.0,61.3,16.6,18.4,4,11.1,1,29.2,At Risk,12
Pothos,Outdoor - Full Sun,Rainy Season,31.1,34.9,44.0,18.5,5,10.6,0,27.2,At Risk,9
Monstera,Outdoor - Full Sun,Rainy Season,30.7,35.8,88.2,12.8,6,3.3,1,64.5,Needs Attention,9
Spider Plant,Indoor - Medium Light,Rainy Season,19.6,72.5,18.7,25.7,3,11.2,0,36.0,At Risk,9
Rubber Plant,Outdoor - Full Sun,Rainy Season,27.9,78.8,33.5,5.2,4,3.1,0,84.2,Healthy,9
Peace Lily,Outdoor - Shade,Rainy Season,25.0,54.3,74.9,19.5,7,7.8,1,0.0,At Risk,7
Peace Lily,Outdoor - Shade,Dry Season,21.5,80.6,22.7,25.1,6,2.8,1,7.3,At Risk,7
Monstera,Indoor - Bright Light,Dry Season,24.1,67.5,93.8,26.1,6,10.1,0,0.0,At Risk,5
Dracaena,Outdoor - Shade,Dry Season,28.9,49.7,97.7,3.3,3,2.2,1,61.2,Needs Attention,8
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,37.5,78.7,69.9,25.2,4,11.6,1,27.4,At Risk,9
Bamboo Palm,Outdoor - Shade,Rainy Season,23.3,28.0,56.7,8.5,5,8.0,1,38.7,At Risk,7
Spider Plant,Indoor - Bright Light,Rainy Season,35.5,82.0,33.0,10.2,7,3.9,0,55.6,Needs Attention,9
Dracaena,Indoor - Medium Light,Dry Season,28.4,29.1,83.1,18.0,0,9.4,1,81.0,Healthy,8
Pothos,Outdoor - Full Sun,Dry Season,26.6,45.6,43.5,23.2,0,5.4,0,78.3,Healthy,5
ZZ Plant,Outdoor - Shade,Rainy Season,22.7,76.1,97.1,7.9,7,8.0,1,77.8,Healthy,16
ZZ Plant,Indoor - Low Light,Rainy Season,25.2,55.7,4.6,4.2,3,6.7,1,38.9,At Risk,16
Spider Plant,Indoor - Low Light,Dry Season,28.7,80.5,4.9,25.0,3,3.1,1,20.3,At Risk,9
Boston Fern,Indoor - Low Light,Dry Season,34.3,43.5,81.8,15.9,2,7.1,1,41.2,At Risk,1
Pothos,Outdoor - Shade,Dry Season,26.2,84.0,71.4,18.2,7,5.0,1,0.0,At Risk,9
Dracaena,Outdoor - Full Sun,Dry Season,19.2,64.2,68.7,3.4,5,10.0,1,93.8,Healthy,8
Pothos,Indoor - Low Light,Rainy Season,19.6,48.1,94.2,20.1,0,8.5,1,83.0,Healthy,9
Peace Lily,Indoor - Low Light,Dry Season,21.1,36.2,63.8,22.2,4,2.7,1,59.1,Needs Attention,3
Bamboo Palm,Indoor - Medium Light,Dry Season,20.5,61.3,34.3,21.9,0,2.7,1,49.3,At Risk,3
Rubber Plant,Outdoor - Full Sun,Rainy Season,33.8,54.0,79.8,24.7,3,7.8,1,64.1,Needs Attention,9
Aloe Vera,Indoor - Medium Light,Rainy Season,21.3,67.0,4.5,22.9,6,3.5,0,15.2,At Risk,16
Boston Fern,Indoor - Bright Light,Rainy Season,29.9,31.6,84.7,15.9,7,4.2,1,11.0,At Risk,5
Boston Fern,Indoor - Bright Light,Dry Season,20.7,31.5,20.9,27.8,2,3.6,0,20.2,At Risk,1
Bamboo Palm,Outdoor - Full Sun,Rainy Season,25.5,55.8,44.4,29.8,0,11.8,1,53.3,Needs Attention,7
Spider Plant,Outdoor - Full Sun,Dry Season,27.6,59.6,16.8,7.4,6,6.4,1,38.3,At Risk,5
Dracaena,Outdoor - Shade,Dry Season,37.3,61.3,34.7,17.4,7,12.0,0,0.0,At Risk,8
Aloe Vera,Indoor - Medium Light,Dry Season,22.0,50.7,3.9,14.3,3,11.1,0,32.0,At Risk,12
Philodendron,Outdoor - Shade,Rainy Season,20.6,76.4,12.5,23.8,3,6.7,0,21.4,At Risk,9
Spider Plant,Indoor - Medium Light,Rainy Season,23.7,38.2,76.2,11.6,2,11.2,1,47.7,At Risk,9
Boston Fern,Indoor - Medium Light,Rainy Season,34.6,74.7,57.4,28.7,7,12.0,0,42.3,At Risk,5
Philodendron,Indoor - Bright Light,Dry Season,18.6,88.1,22.1,22.0,1,6.8,1,48.5,At Risk,9
Dracaena,Outdoor - Full Sun,Rainy Season,34.4,46.7,73.3,15.9,5,2.1,1,24.0,At Risk,12
Pothos,Outdoor - Full Sun,Dry Season,33.1,75.0,65.9,23.0,3,9.0,0,32.3,At Risk,5
Philodendron,Indoor - Bright Light,Dry Season,29.0,66.1,57.7,20.9,4,11.6,1,53.7,Needs Attention,5
Orchid,Indoor - Medium Light,Rainy Season,32.2,68.3,21.1,25.9,2,10.0,1,64.6,Needs Attention,9
Bamboo Palm,Outdoor - Full Sun,Dry Season,22.5,66.6,97.9,18.1,4,6.2,1,48.3,At Risk,3
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,31.7,40.7,71.4,24.7,7,4.9,1,31.5,At Risk,9
Aloe Vera,Indoor - Medium Light,Rainy Season,27.9,43.5,13.4,18.9,2,4.7,1,81.0,Healthy,16
Fiddle Leaf Fig,Indoor - Low Light,Dry Season,29.7,55.4,34.0,28.2,7,5.2,0,27.0,At Risk,5
Orchid,Outdoor - Shade,Rainy Season,36.1,86.3,42.2,11.3,7,11.6,0,7.1,At Risk,9
Cactus,Outdoor - Full Sun,Dry Season,35.5,36.9,27.8,3.9,3,9.0,1,82.7,Healthy,19
Orchid,Outdoor - Full Sun,Rainy Season,20.1,57.4,38.5,26.0,2,6.6,1,71.8,Needs Attention,9
Philodendron,Indoor - Medium Light,Rainy Season,25.4,81.5,73.0,19.4,3,8.8,1,63.4,Needs Attention,9
ZZ Plant,Outdoor - Shade,Rainy Season,32.7,88.3,5.2,20.5,5,4.0,1,41.3,At Risk,16
Monstera,Indoor - Medium Light,Rainy Season,22.8,84.2,83.8,21.3,5,6.1,1,41.3,At Risk,9
Fiddle Leaf Fig,Outdoor - Shade,Rainy Season,32.5,82.0,4.2,11.9,0,5.1,1,65.6,Needs Attention,9
Fiddle Leaf Fig,Outdoor - Full Sun,Dry Season,33.5,58.7,34.8,11.2,7,7.7,1,0.0,At Risk,5
Boston Fern,Indoor - Low Light,Dry Season,33.6,54.8,39.8,9.1,2,9.1,1,54.3,Needs Attention,1
Aloe Vera,Indoor - Low Light,Dry Season,33.7,89.4,54.4,28.9,3,9.8,1,35.4,At Risk,16
Rubber Plant,Indoor - Medium Light,Dry Season,29.6,34.6,81.1,19.1,6,3.6,1,0.0,At Risk,5
Philodendron,Indoor - Low Light,Rainy Season,19.2,34.6,0.8,18.9,2,2.4,1,73.9,Needs Attention,9
Bamboo Palm,Indoor - Medium Light,Dry Season,37.2,65.4,92.9,22.8,5,7.5,1,44.6,At Risk,3
Fiddle Leaf Fig,Indoor - Low Light,Rainy Season,30.7,57.4,40.7,28.6,5,7.7,1,40.6,At Risk,9
ZZ Plant,Indoor - Medium Light,Rainy Season,18.3,78.9,73.2,10.7,0,11.6,1,96.8,Healthy,16
